Product Link,Product Name,Price,Rating,Review,product_id,Cleaned_Review,Tokenized_Review,Sentiment_Score,Sentiment,Score
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,1,"Pin sạc 100% nhưng khi rút sạc thì còn 98%, còn tụt pin rất nhanh, nhắn tin bị đơ không hiện bàn phím.",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,pin sạc 100 nhưng khi rút sạc thì còn 98 còn tụt pin rất nhanh nhắn tin bị đơ không hiện bàn phím,pin sạc 100 nhưng khi rút sạc thì còn 98 còn tụt pin rất nhanh nhắn_tin bị đơ không hiện bàn_phím,,Negative,-1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,1,"Không nhận sim thường xuyên tới cửa hàng củng khởi động lại máy r thôi có khi ngày 23 lần làm ban đêm về mệt ban ngày ngủ người nhà điện có việc gì ,shiper r lum la việc cũng k gọi được đem ra cửa tiệm cũng như k rất phiền phải chạy tới lui",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,không nhận sim thường xuyên tới cửa hàng củng khởi động lại máy r thôi có khi ngày 23 lần làm ban đêm về mệt ban ngày ngủ người nhà điện có việc gì shiper r lum la việc cũng k gọi được đem ra cửa tiệm cũng như k rất phiền phải chạy tới lui,không nhận sim thường_xuyên tới cửa_hàng củng khởi_động lại máy r thôi có_khi ngày 23 lần làm ban_đêm về mệt ban_ngày ngủ người_nhà điện có việc gì shiper r lum la việc cũng k gọi được đem ra cửa tiệm cũng như k rất phiền phải chạy tới_lui,,Negative,-1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,2,Mic bắt quá kém,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,mic bắt quá kém,mic bắt quá kém,,Negative,-1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,4,Máy bị lỗi dấu vân tay hay sao ắ Thiết lập dấu vân tay thì đc nhưng mà nó ko nhận diện dấu vân tay đc,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,máy bị lỗi dấu vân tay hay sao ắ thiết lập dấu vân tay thì đc nhưng mà nó ko nhận diện dấu vân tay đc,máy bị lỗi dấu vân tay hay sao ắ thiết_lập dấu vân tay thì đc nhưng_mà nó ko nhận_diện dấu vân tay đc,,Positive,1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,2,"Nhanh hết pin, sạc xong rút ra chưa sài đã tụt pin",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,nhanh hết pin sạc xong rút ra chưa sài đã tụt pin,nhanh hết pin sạc xong rút ra chưa sài đã tụt pin,,Negative,-1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,4,"Tạm ổn với giá tiền.Không đòi hỏi gì thêm,còn mấy bạn khó tính chê này nọ thì đi mua máy mắc tiền mà dùng.",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,tạm ổn với giá tiềnkhông đòi hỏi gì thêmcòn mấy bạn khó tính chê này nọ thì đi mua máy mắc tiền mà dùng,tạm ổn với giá tiềnkhông đòi_hỏi gì thêmcòn mấy bạn khó_tính chê này_nọ thì đi mua máy mắc tiền mà dùng,,Positive,1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,3,"Nhanh hết pin quá , mọi thứ còn lại khá ổn . chỉ có pin nhanh hết",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,nhanh hết pin quá mọi thứ còn lại khá ổn chỉ có pin nhanh hết,nhanh hết pin quá mọi thứ còn lại khá ổn chỉ có pin nhanh hết,,Neutral,0
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,4,"Máy dùng khá, chụp ảnh tốt, lướt net nhanh ấm máy",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,máy dùng khá chụp ảnh tốt lướt net nhanh ấm máy,máy dùng khá chụp ảnh tốt lướt net nhanh ấm máy,,Positive,1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,1,Dùng được 34 tháng r mà bất ổn quá.ae nên tìm hiểu dòng máy khác,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,dùng được 34 tháng r mà bất ổn quáae nên tìm hiểu dòng máy khác,dùng được 34 tháng r mà bất_ổn quáae nên tìm_hiểu dòng máy khác,,Negative,-1
https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,4390000,2,"Mở máy lên cứ xuất hiện chữ đừng che phần tai nghe, mà có che đâu cứ phải bấm nút tăng âm lượng để tắt chán quá.với lại mình dùng 2sim của Viettel cuộc gọi đến ko biết đến sim nào cài nhạc chuông để phân biệt thì không cài được.",Điện thoại Xiaomi Redmi Note 13 8GB/128GB,mở máy lên cứ xuất hiện chữ đừng che phần tai nghe mà có che đâu cứ phải bấm nút tăng âm lượng để tắt chán quávới lại mình dùng 2sim của viettel cuộc gọi đến ko biết đến sim nào cài nhạc chuông để phân biệt thì không cài được,mở máy lên cứ xuất_hiện chữ đừng che phần tai nghe mà có che đâu cứ phải bấm nút tăng_âm lượng để tắt chán quávới lại mình dùng 2sim của viettel cuộc_gọi đến ko biết đến sim nào cài nhạc chuông để phân_biệt thì không cài được,,Negative,-1
